agency_id,agency_name,agency_url,agency_timezone,agency_lang
1,LNVG-GG,http://www.bahn.de,Europe/Berlin,de
10,VOS Verkehrsgemeinschaft Osnabrück,http://www.bahn.de,Europe/Berlin,de
100,Bodensee-Oberschwaben-Verkehrsverbund,http://www.bahn.de,Europe/Berlin,de
101,Verkehrsverbund Oberelbe,http://www.bahn.de,Europe/Berlin,de
102,Meininger Busbetriebs GmbH,http://www.bahn.de,Europe/Berlin,de
103,Stadtwerke Solingen GmbH,http://www.bahn.de,Europe/Berlin,de
104,Verkehrsverbund Stuttgart,http://www.bahn.de,Europe/Berlin,de
105,Reiseverkehr Schulze OHG,http://www.bahn.de,Europe/Berlin,de
106,Stadwerke Remscheid GmbH,http://www.bahn.de,Europe/Berlin,de
107,Stadtverkehr Hof (Saale),http://www.bahn.de,Europe/Berlin,de
108,MEY Meyering Reisen,http://www.bahn.de,Europe/Berlin,de
109,Stadtwerke Landshut,http://www.bahn.de,Europe/Berlin,de
11,SW MR - Microbus (NEU),http://www.bahn.de,Europe/Berlin,de
110,DADINA,http://www.bahn.de,Europe/Berlin,de
111,Landkreis Cham,http://www.bahn.de,Europe/Berlin,de
112,WMS LK Emsland,http://www.bahn.de,Europe/Berlin,de
113,Verkehrsgesellschaft Paderborn/Höxter,http://www.bahn.de,Europe/Berlin,de
114,Jenaer Nahverkehr GmbH,http://www.bahn.de,Europe/Berlin,de
115,ORP Ostprignitz-Ruppiner-Personennahverkehrsgesellschaft,http://www.bahn.de,Europe/Berlin,de
116,SYLT Sylter Verkehrsgesellschaft,http://www.bahn.de,Europe/Berlin,de
117,Verkehrsgesellschaft Südharz mbH,http://www.bahn.de,Europe/Berlin,de
118,Verkehrsgemeinschaft Landkreis Gotha GbR,http://www.bahn.de,Europe/Berlin,de
119,Landkreis Altötting,http://www.bahn.de,Europe/Berlin,de
12,DB RegioBus Bayern,http://www.bahn.de,Europe/Berlin,de
120,Gesellschaft zur Förderung des ÖPNV Regensburg,http://www.bahn.de,Europe/Berlin,de
121,AKTIV Aktiv Bus Flensburg,http://www.bahn.de,Europe/Berlin,de
122,EVB Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH,http://www.bahn.de,Europe/Berlin,de
123,Omnibus-Service Mellrichstadt,http://www.bahn.de,Europe/Berlin,de
124,Stadtverkehr Coburg,http://www.bahn.de,Europe/Berlin,de
125,Niederrheinische Verkehrsbetriebe AG,http://www.bahn.de,Europe/Berlin,de
126,OVB - Microbus,http://www.bahn.de,Europe/Berlin,de
127,SWN Stadtwerke Neumünster,http://www.bahn.de,Europe/Berlin,de
128,RMV,http://www.bahn.de,Europe/Berlin,de
129,BS Tarifverb Region Braunschweig,http://www.bahn.de,Europe/Berlin,de
13,SVL Stadtverkehr Lübeck,http://www.bahn.de,Europe/Berlin,de
130,Landkreis Neuburg-Schrobenhausen,http://www.bahn.de,Europe/Berlin,de
131,Erfurter Verkehrsbetriebe AG,http://www.bahn.de,Europe/Berlin,de
132,ESWE direkt,http://www.bahn.de,Europe/Berlin,de
133,IV HG,http://www.bahn.de,Europe/Berlin,de
134,Ostwestfalen-Lippe,http://www.bahn.de,Europe/Berlin,de
135,Münchner Verkehrs- und Tarifverbund,http://www.bahn.de,Europe/Berlin,de
136,Verwaltungsgesellschaft des ÖPNV Sömmerda mbH,http://www.bahn.de,Europe/Berlin,de
137,Verkehrsgemeinschaft Müritz-Oderhaff,http://www.bahn.de,Europe/Berlin,de
138,KVG Salzland,http://www.bahn.de,Europe/Berlin,de
139,Verkehrsverbund Großraum Nürnberg,http://www.bahn.de,Europe/Berlin,de
14,SWW Stadtwerke Wilhelmshaven,http://www.bahn.de,Europe/Berlin,de
140,NJL,http://www.bahn.de,Europe/Berlin,de
141,Vestische Straßenbahnen GmbH,http://www.bahn.de,Europe/Berlin,de
142,Stadtwerke Passau,http://www.bahn.de,Europe/Berlin,de
143,Landkreis Landshut,http://www.bahn.de,Europe/Berlin,de
144,HEAG,http://www.bahn.de,Europe/Berlin,de
145,MTV,http://www.bahn.de,Europe/Berlin,de
146,Andressen Reisen,http://www.bahn.de,Europe/Berlin,de
147,Rheinbahn AG,http://www.bahn.de,Europe/Berlin,de
148,Regiobus Potsdam Mittelmark GmbH,http://www.bahn.de,Europe/Berlin,de
149,Verkehrsgesell. Teltow-Fläming,http://www.bahn.de,Europe/Berlin,de
15,Verkehrsbetrieb Potsdam GmbH,http://www.bahn.de,Europe/Berlin,de
150,EDZ Edzards Reisen,http://www.bahn.de,Europe/Berlin,de
151,Stadtwerke Schweinfurt,http://www.bahn.de,Europe/Berlin,de
152,Thüringerwaldbahn und Straßenbahn Gotha GmbH,http://www.bahn.de,Europe/Berlin,de
153,IGDB - VHT direkt,http://www.bahn.de,Europe/Berlin,de
154,Verkehrsverbund Rhein-Sieg,http://www.bahn.de,Europe/Berlin,de
155,Märkische VG,http://www.bahn.de,Europe/Berlin,de
156,Straßenverkehr Frankfurt Oder,http://www.bahn.de,Europe/Berlin,de
157,Busverkehr Rheinland GmbH,http://www.rheinlandbus.de,Europe/Berlin,de
158,Landkreis Freudenstadt,http://www.bahn.de,Europe/Berlin,de
159,Ingolstadt,http://www.bahn.de,Europe/Berlin,de
16,Unbekannt,http://www.bahn.de,Europe/Berlin,de
160,Regionalverkehr Alb-Bodensee,http://www.bahn.de,Europe/Berlin,de
161,THÜSACneu,http://www.bahn.de,Europe/Berlin,de
162,Verkehrsgesellschaft Nordvorpommern,http://www.bahn.de,Europe/Berlin,de
163,Rurtalbus,http://www.dkb-dn.de,Europe/Berlin,de
164,Landkreis Freyung-Grafenau,http://www.bahn.de,Europe/Berlin,de
165,Heiner Geis GmbH,http://www.bahn.de,Europe/Berlin,de
166,GOE Göttinger Verkehrsbetriebe,http://www.bahn.de,Europe/Berlin,de
167,Metzbus,http://www.bahn.de,Europe/Berlin,de
168,RBA Regionalbus Arnstadt GmbH,http://www.bahn.de,Europe/Berlin,de
169,RB-Gesellschaft UHK mbH,http://www.bahn.de,Europe/Berlin,de
17,Personen- und Reiseverkehrs GmbH Greiz,http://www.bahn.de,Europe/Berlin,de
170,MittelSachsen,http://www.bahn.de,Europe/Berlin,de
171,Verkehrsgemeinschaft Schwäbisch Hall,http://www.bahn.de,Europe/Berlin,de
172,Kolbermoor,http://www.bahn.de,Europe/Berlin,de
173,NEW Viersen,http://www.bahn.de,Europe/Berlin,de
174,OREG direkt,http://www.bahn.de,Europe/Berlin,de
175,Stadtwerke Trier,http://www.bahn.de,Europe/Berlin,de
176,Duisburger Verkehrsgesellschaft AG,http://www.bahn.de,Europe/Berlin,de
177,Regensburger Verkehrsverbund,http://www.bahn.de,Europe/Berlin,de
178,RBS Regionalbus Stuttgart GmbH,http://www.bahn.de,Europe/Berlin,de
179,VKP Verkehrsbetriebe Kreis Plön,http://www.bahn.de,Europe/Berlin,de
18,Personenverkehrsgesellschaft mbH Weimarer Land,http://www.bahn.de,Europe/Berlin,de
180,Gesellschaft zur Förderung des ÖPNV Landkreis,http://www.bahn.de,Europe/Berlin,de
181,Stadtbus Kulmbach GmbH,http://www.bahn.de,Europe/Berlin,de
182,KVGK Kieler Verkehrsgesellschaft,http://www.bahn.de,Europe/Berlin,de
183,Faisy,http://www.bahn.de,Europe/Berlin,de
184,Saar-Mobil GmbH,http://www.bahn.de,Europe/Berlin,de
185,RTV Direkt,http://www.bahn.de,Europe/Berlin,de
186,Omnipart,http://www.bahn.de,Europe/Berlin,de
187,SVG LK Schaumburg,http://www.bahn.de,Europe/Berlin,de
188,SW Ou,http://www.bahn.de,Europe/Berlin,de
189,AK Autokraft Kiel,http://www.bahn.de,Europe/Berlin,de
19,SWEG RVF-Gebiet,http://www.bahn.de,Europe/Berlin,de
