monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,1,1,20210814,20210815,71
0,0,0,0,1,0,1,20210813,20210815,84
0,0,0,0,1,1,0,20210813,20210814,79
0,0,0,0,1,1,1,20210813,20210815,88
0,0,0,1,0,0,1,20210812,20210815,111
0,0,0,1,0,1,0,20210812,20210814,142
0,0,0,1,0,1,1,20210812,20210815,122
0,0,0,1,1,0,0,20210812,20210813,109
0,0,0,1,1,0,1,20210812,20210815,5
0,0,0,1,1,1,0,20210812,20210814,105
0,0,0,1,1,1,1,20210812,20210815,156
0,0,1,0,0,0,1,20210811,20210815,129
0,0,1,0,0,1,0,20210811,20210814,150
0,0,1,0,0,1,1,20210811,20210815,149
0,0,1,0,1,0,0,20210811,20210813,77
0,0,1,0,1,0,1,20210811,20210815,113
0,0,1,0,1,1,0,20210811,20210814,23
0,0,1,0,1,1,1,20210811,20210815,13
0,0,1,1,0,0,0,20210811,20210812,127
0,0,1,1,0,0,1,20210811,20210815,53
0,0,1,1,0,1,0,20210811,20210814,4
0,0,1,1,0,1,1,20210811,20210815,6
0,0,1,1,1,0,0,20210811,20210813,87
0,0,1,1,1,0,1,20210811,20210815,3
0,0,1,1,1,1,0,20210811,20210814,153
0,0,1,1,1,1,1,20210811,20210815,141
0,1,0,0,0,0,1,20210810,20210815,14
0,1,0,0,0,1,0,20210810,20210814,125
0,1,0,0,0,1,1,20210810,20210815,19
0,1,0,0,1,0,0,20210810,20210813,70
0,1,0,0,1,0,1,20210810,20210815,24
0,1,0,0,1,1,0,20210810,20210814,2
0,1,0,0,1,1,1,20210810,20210815,34
0,1,0,1,0,0,0,20210810,20210812,78
0,1,0,1,0,0,1,20210810,20210815,8
0,1,0,1,0,1,0,20210810,20210814,117
0,1,0,1,0,1,1,20210810,20210815,22
0,1,0,1,1,0,0,20210810,20210813,119
0,1,0,1,1,0,1,20210810,20210815,157
0,1,0,1,1,1,0,20210810,20210814,20
0,1,0,1,1,1,1,20210810,20210815,94
0,1,1,0,0,0,0,20210810,20210811,131
0,1,1,0,0,0,1,20210810,20210815,63
0,1,1,0,0,1,0,20210810,20210814,136
0,1,1,0,0,1,1,20210810,20210815,138
0,1,1,0,1,0,0,20210810,20210813,139
0,1,1,0,1,0,1,20210810,20210815,160
0,1,1,0,1,1,0,20210810,20210814,36
0,1,1,0,1,1,1,20210810,20210815,165
0,1,1,1,0,0,0,20210810,20210812,83
0,1,1,1,0,0,1,20210810,20210815,44
0,1,1,1,0,1,0,20210810,20210814,28
0,1,1,1,0,1,1,20210810,20210815,32
0,1,1,1,1,0,0,20210810,20210813,80
0,1,1,1,1,0,1,20210810,20210815,120
0,1,1,1,1,1,0,20210810,20210814,132
0,1,1,1,1,1,1,20210810,20210815,98
1,0,0,0,0,0,0,20210809,20210816,107
1,0,0,0,0,0,1,20210809,20210815,164
1,0,0,0,0,0,1,20210809,20210816,121
1,0,0,0,0,0,1,20210815,20210816,26
1,0,0,0,0,1,0,20210809,20210814,56
