route_long_name,route_short_name,agency_id,route_type,route_id
0,0,225,0,8744
000,000,244,3,10838
001,001,217,3,10237
001,001,244,3,4963
001,001,86,3,11320
002,002,217,3,7033
002,002,244,3,13538
003,003,217,3,8249
003,003,244,3,9106
004,004,217,3,4685
004,004,244,3,10038
005,005,217,3,10758
005,005,244,3,884
006,006,217,3,8332
006,006,244,3,1620
006,006,86,3,14336
007,007,217,3,3730
007,007,244,3,5630
007,007,86,3,2243
008,008,217,3,6398
008,008,86,3,13968
009,009,217,3,7023
009,009,244,3,914
009,009,86,3,605
00A,00A,244,3,16266
00B,00B,244,3,74
010,010,217,3,6021
010,010,244,3,13127
011,011,244,3,541
011,011,86,3,436
012,012,86,3,563
013,013,217,3,3255
014,014,217,3,10609
015,015,217,3,9413
015,015,86,3,15454
016,016,217,3,5119
017,017,217,3,2767
017,017,86,3,852
019,019,217,3,6871
020,020,217,3,13056
020,020,86,3,1563
021,021,217,3,2195
022,022,217,3,3265
023,023,217,3,6294
023,023,86,3,1919
024,024,217,3,6565
025,025,217,3,10633
025,025,86,3,15988
026,026,217,3,8290
027,027,86,3,9294
029,029,217,3,9548
031,031,217,3,8955
032,032,86,3,1475
033,033,217,3,8227
034,034,86,3,14255
035,035,217,3,9217
036,036,217,3,6951
036,036,86,3,851
038,038,98,3,12804
039,039,86,3,15115
040,040,86,3,7086
041,041,86,3,10977
041,041,98,0,8599
041,041,98,3,4205
042,042,86,3,1964
042,042,98,0,2856
043,043,98,0,5650
044,044,86,3,2141
044,044,98,0,6626
045,045,98,3,8305
047,047,98,3,4319
049,049,86,3,9336
049,049,98,3,14516
04a,04a,112,3,8396
051,051,98,3,7868
052,052,86,3,7341
052,052,98,3,8684
053,053,98,3,11984
054,054,98,3,3099
055,055,244,3,7072
055,055,98,3,3393
056,056,98,3,7831
057,057,86,3,11586
057,057,98,3,3799
058,058,98,3,7602
059,059,98,3,9890
05a,05a,112,3,10170
060,060,86,3,2220
060,060,98,3,10210
061,061,98,3,9367
062,062,98,3,6665
063,063,125,3,11129
063,063,86,3,2093
064,064,86,3,1621
064,064,98,3,6163
065,065,86,3,12954
065,065,98,3,4419
066,066,98,3,9257
0670,0670,71,3,13555
068,068,86,3,15006
068,068,98,3,7316
069,069,98,3,5092
070,070,86,3,7
071,071,262,3,5127
072,072,98,3,7109
073,073,86,3,8040
073,073,98,3,10801
074,074,98,3,3540
075,075,86,3,1834
076,076,262,3,5610
076,076,86,3,2202
077,077,262,3,57
078,078,262,3,9020
079,079,262,3,15886
080,080,173,3,8828
081,081,173,3,9473
082,082,173,3,4859
083,083,173,3,7055
083,083,86,3,10382
085,085,173,3,8808
086,086,173,3,13141
086,086,86,3,2218
087,087,173,3,9224
089,089,173,3,4357
090,090,86,3,2347
092,092,262,3,14986
093,093,262,3,3436
094,094,262,3,10476
095,095,262,3,6615
095,095,86,3,9234
096,096,262,3,4452
097,097,217,3,3168
098,098,217,3,7784
098,098,86,3,2167
0F1,0F1,57,3,12539
0F2,0F2,57,3,14298
1,1,100,3,7510
1,1,101,0,4890
1,1,107,3,9507
1,1,109,3,6488
1,1,11,3,8592
1,1,113,3,7590
1,1,114,0,4792
1,1,116,3,3532
1,1,117,3,13381
1,1,119,3,11133
1,1,12,3,6996
1,1,121,3,6125
1,1,125,3,7048
1,1,127,3,7002
1,1,13,3,6156
1,1,131,0,2837
1,1,132,3,4263
1,1,133,3,4752
1,1,134,3,71
1,1,137,3,3315
1,1,14,3,3957
1,1,142,3,3028
1,1,144,0,2982
1,1,152,0,4195
1,1,154,0,4698
1,1,155,3,9223
1,1,156,0,4397
1,1,160,3,7442
1,1,162,3,5816
1,1,169,3,4508
1,1,17,3,3714
1,1,170,0,10082
1,1,170,3,9386
1,1,171,3,4688
1,1,175,3,6598
1,1,177,3,3751
1,1,18,3,8758
1,1,181,3,11166
1,1,183,3,5558
1,1,186,3,2762
1,1,189,3,8438
1,1,19,3,13149
1,1,190,0,5005
1,1,191,3,4032
1,1,197,0,8914
1,1,210,0,4248
1,1,210,3,4554
1,1,215,3,7605
1,1,220,3,6885
1,1,221,3,5414
1,1,223,3,7909
1,1,225,0,5721
1,1,227,3,11498
1,1,229,3,5868
1,1,23,3,9954
1,1,231,3,4930
1,1,232,3,11343
1,1,238,3,4474
1,1,239,3,9407
1,1,24,0,2519
1,1,240,3,7115
1,1,241,0,6519
1,1,242,0,3727
1,1,244,3,3206
1,1,248,0,3272
1,1,248,3,4498
1,1,25,3,9249
1,1,250,3,2943
1,1,253,3,10448
1,1,256,3,10865
1,1,258,3,12875
1,1,259,3,16300
1,1,264,3,10066
1,1,265,3,5201
1,1,267,3,4908
1,1,268,0,7137
1,1,34,0,3584
1,1,35,3,188
1,1,37,3,777
1,1,39,3,3999
1,1,4,3,7474
1,1,43,3,5250
1,1,44,3,7490
1,1,48,3,10533
1,1,5,0,6045
1,1,50,3,3786
1,1,51,3,6006
1,1,54,3,1664
1,1,57,0,4802
1,1,65,3,2896
1,1,71,3,2587
1,1,74,3,5083
1,1,77,0,12541
1,1,79,3,3162
1,1,8,0,6212
1,1,80,3,4723
1,1,84,3,1655
1,1,90,1,3384
1,1,96,3,10293
1 (Hoyerswerda),1 (Hoyerswerda),101,3,8570
1 - BBUS Lindhorst,1 - BBUS Lindhorst,187,3,16278
1 Helios,1 Helios,100,3,15770
1 Rot,1 Rot,215,3,14581
1/546,1/546,134,3,8005
10,10,10,3,4382
10,10,100,3,9033
10,10,101,0,3387
10,10,102,3,13297
10,10,104,3,6122
10,10,104,7,4794
10,10,107,3,5611
10,10,109,3,4390
10,10,11,3,2746
10,10,114,3,2886
10,10,121,3,11096
10,10,129,0,13426
10,10,13,3,6551
10,10,130,3,14204
10,10,131,3,7339
10,10,134,3,6035
10,10,137,3,8369
10,10,142,3,9957
10,10,159,3,5465
10,10,162,3,11231
